Title,Code,Link
ARTS AND CULTURAL MANAGEMENT ,30208,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30208&anno=2024&ric_cdl=x&IdPag=6896
AUDITING ,30161,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30161&anno=2024&ric_cdl=x&IdPag=6896
BEHAVIORAL AND EXPERIMENTAL FINANCE ,30608,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30608&anno=2024&ric_cdl=x&IdPag=6896
BIG DATA FOR BUSINESS ANALYTICS ,30514,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30514&anno=2024&ric_cdl=x&IdPag=6896
BUSINESS MANAGEMENT IN CHINA ,30574,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30574&anno=2024&ric_cdl=x&IdPag=6896
BUSINESS PLAN ,30219,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30219&anno=2024&ric_cdl=x&IdPag=6896
BUSINESS TAXATION AND DIGITAL ECONOMY ,30647,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30647&anno=2024&ric_cdl=x&IdPag=6896
BUSINESS VALUATION ,30185,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30185&anno=2024&ric_cdl=x&IdPag=6896
CLIMATE CHANGE ECONOMICS ,30387,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30387&anno=2024&ric_cdl=x&IdPag=6896
COMPETING IN THE METAVERSE ,30652,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30652&anno=2024&ric_cdl=x&IdPag=6896
COMPUTATIONAL APPLICATIONS IN ACCOUNTING ,30599,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30599&anno=2024&ric_cdl=x&IdPag=6896
COMPUTATIONAL APPLICATIONS IN MANAGEMENT ,30601,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30601&anno=2024&ric_cdl=x&IdPag=6896
COMPUTATIONAL APPLICATIONS IN MARKETING ,30603,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30603&anno=2024&ric_cdl=x&IdPag=6896
CONSUMER INSIGHTS ,30602,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30602&anno=2024&ric_cdl=x&IdPag=6896
CORPORATE BANKING ,30173,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30173&anno=2024&ric_cdl=x&IdPag=6896
CORPORATE FINANCIAL MANAGEMENT AND INVESTMENT ANALYSIS ,30182,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30182&anno=2024&ric_cdl=x&IdPag=6896
DATA-DRIVEN ANALYSIS AND DECISION-MAKING IN BUSINESS ,30587,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30587&anno=2024&ric_cdl=x&IdPag=6896
DIGITAL STRATEGY ,30525,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30525&anno=2024&ric_cdl=x&IdPag=6896
DIVERSITY MANAGEMENT AND POLICY ,30298,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30298&anno=2024&ric_cdl=x&IdPag=6896
ECONOMICS ,"POVERTY, INEQUALITY AND INCOME DISTRIBUTION","https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=POVERTY, INEQUALITY AND INCOME DISTRIBUTION&anno=2024&ric_cdl=x&IdPag=6896"
ECONOMICS AND MANAGEMENT OF LIFE INSURANCE AND PENSION FUNDS ,30174,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30174&anno=2024&ric_cdl=x&IdPag=6896
ELEMENTS OF REAL AND FOURIER ANALYSIS ,30665,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30665&anno=2024&ric_cdl=x&IdPag=6896
ENERGY AND ENVIRONMENTAL ECONOMICS AND POLICY ,30648,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30648&anno=2024&ric_cdl=x&IdPag=6896
ENTREPRENEURSHIP AND NEW BUSINESS STARTUP ,30492,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30492&anno=2024&ric_cdl=x&IdPag=6896
ENTREPRENEURSHIP AND STRATEGIC INNOVATION IN THE FASHION INDUSTRY ,30529,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30529&anno=2024&ric_cdl=x&IdPag=6896
EQUITY PORTFOLIO MANAGEMENT ,30180,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30180&anno=2024&ric_cdl=x&IdPag=6896
EXPERIMENTAL ECONOMICS AND PSYCHOLOGY ,30261,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30261&anno=2024&ric_cdl=x&IdPag=6896
FAMILY BUSINESS STRATEGIES ,30276,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30276&anno=2024&ric_cdl=x&IdPag=6896
FINANCIAL ANALYSIS AND PERFORMANCE MEASUREMENT ,30526,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30526&anno=2024&ric_cdl=x&IdPag=6896
FINANCIAL MACROECONOMICS ,30172,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30172&anno=2024&ric_cdl=x&IdPag=6896
FINANCIAL MODELLING ,30177,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30177&anno=2024&ric_cdl=x&IdPag=6896
FINANCIAL STATEMENT ANALYSIS FOR COMPANY VALUATION ,30588,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30588&anno=2024&ric_cdl=x&IdPag=6896
FINTECH FOR BANKING AND FINANCIAL TRANSFORMATION ,30511,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30511&anno=2024&ric_cdl=x&IdPag=6896
FISCAL MACROECONOMICS ,30490,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30490&anno=2024&ric_cdl=x&IdPag=6896
"FORECASTING ECONOMIC, BUSINESS AND FINANCIAL DATA. CODING AND APPLICATIONS ",30604,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30604&anno=2024&ric_cdl=x&IdPag=6896
FOUNDATIONS OF DATA SCIENCE ,30607,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30607&anno=2024&ric_cdl=x&IdPag=6896
"GEOPOLITICS: HISTORY, GEOGRAPHY AND POWER DYNAMICS ",30594,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30594&anno=2024&ric_cdl=x&IdPag=6896
GLOBAL SUSTAINABILITY STRATEGY ,30296,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30296&anno=2024&ric_cdl=x&IdPag=6896
GREEN MARKETING ,30439,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30439&anno=2024&ric_cdl=x&IdPag=6896
HEALTH AND SOCIETY ,30497,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30497&anno=2024&ric_cdl=x&IdPag=6896
HISTORY OF EUROPEAN INTEGRATION ,30573,https://didattica.unibocconi.it/ts/tsn_anteprima.php?cod_ins=30573&anno=2024&ric_cdl=x&IdPag=6896
